count,post_month,price_euro,dist_km,brand,transmission,post_time,year,fuel,model,post_day
232,avril,27500,165000,Toyota,Automatique,09:23,1999,Diesel,Land Cruiser,13
233,avril,7800,124000,Volkswagen,Manuelle,01:23,2005,Essence,Fox,13
234,avril,15200,36400,Nissan,Manuelle,21:25,2012,Diesel,Juke,12
235,avril,4790,47080,Ford,Manuelle,15:41,2007,Essence,Fiesta,12
236,avril,22890,39900,Bmw,Automatique,12:43,2012,Diesel,Serie 1,12
237,avril,unknown,15000,Renault,Manuelle,12:29,2001,Essence,Megane,12
238,avril,11990,82800,Mini,Manuelle,11:34,2011,Diesel,Mini,12
239,avril,400,219000,Renault,Manuelle,12:46,1999,Essence,Clio,11
240,avril,5490,220000,Audi,Manuelle,22:50,2006,Diesel,A4,8
241,avril,1600,130000,Renault,Manuelle,19:36,2003,Diesel,Megane,8
242,avril,6990,63000,Renault,Manuelle,12:34,2010,Diesel,Twingo,8
243,avril,7490,125000,Audi,Automatique,18:54,2005,Diesel,A3,7
244,avril,3990,145000,Opel,Automatique,17:12,2005,Essence,Tigra,7
